canonical_smiles,value
*CC(*)c1ccccc1,1.04
*CC(*)CCC,0.87
*CC(*)CCCCCCC,0.87
*CCC=C(*)C,0.92
*CC(*)CCCCCCCC,0.87
*OC(*)C,1.09
*CC(COCCCCCC)O*,0.98
*CC(*)C1=CCC(c2ccc(-c3ccccc3)cc2)C=C1,1.06
*CC(*)C1=CC(c2ccc(-c3ccccc3)cc2)CC=C1,1.06
*CC(*)CC1CCCC1,0.9
*CC(*)CC1CCCCC1,0.89
*CC(*)OCC(C)C,0.95
*CC(*)OCCCCCC,0.93
*CC(*)C1CCCC1,0.9
*CC1CC(*)OC(CCC)O1,1.07
*OC(C)C(*)C,0.99
*CCCCO*,0.99
*CC(*)CCCCCCCCCCCCCC,0.87
*CC(*)C(C)(C)C,0.87
*CC(O*)c1ccccc1,1.11
*CC(C)O*,1.03
*CC(*)OCCC,0.97
Cc1ccc(C)cc1,1.04
c1ccccc1,1.13
*CCCCOCO*,1.06
*CCOCO*,1.15
*CC(*)OCCCCCCCC,0.92
*CC(*)CCCCCC,0.87
*CCCCCCCCO*,0.93
*CC(*)CCCCCCCCC,0.87
*CC(*)OC,1.03
*CC(*)C(C)C,0.87
*CC(*)OC(C)C,0.97
*CC(*)CCC(C)C,0.87
*CC(*)CCCC(C)C,0.87
*CC(*)(CCCCCC)CCCCCCCCCC,0.87
*CCCCCCO*,0.95
*CC*,0.92
*CCO*,1.09
*CC(*)OCC,0.99
*CC(*)C1CCCCC1,0.9
*CC(*)CC(C)(C)C,0.87
*CC(*)CC,0.87
*CC(*)OCCCC,0.95
*CC(*)CCCC,0.87
*CC(*)(C)CC,0.87
*CC(*)(C)c1ccccc1,1.01
*C=CCCC(C)C*,0.9
*CC(*)CCCC(C)(C)C,0.87
*CC(*)c1ccc(C(C)(C)C)cc1,0.96
*CC(*)c1ccc(C(C)CC)cc1,0.96
*CC(*)c1ccc(C)cc1,1.01
*C=CCC(C)C*,0.91
*CC(*)c1ccc(OC)cc1,1.06
*CC(*)c1ccc(CCCCCC)cc1,0.95
*CC(*)c1ccc(COCCCCC)cc1,0.99
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,0.91
*CC(*)c1ccc(CC)cc1,0.99
*CC(*)c1ccc(OCC)cc1,1.04
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,0.92
*CC(*)c1ccc(CCCCCCCCCC)cc1,0.93
*CC(*)c1ccc(CCCC)cc1,0.96
*CC(*)c1ccc(OCCCC)cc1,1
*CC(*)c1ccc(COCCCC)cc1,1
*CC(*)c1cc(C)cc(C)c1,0.99
*CC(*)c1ccc(C)c(C)c1,0.99
*CC(*)CCC(C)(C)C,0.87
*C=CC(*)c1ccccc1,1.07
*CC(C)Oc1ccc(O*)cc1,1.11
*CC(*)c1cccc(C)c1,1.01
*C=CC(C)C*,0.92
*CCCC(C)CC*,0.87
*CC(C)OCO*,1.09
*CC(*)c1cccc(CC)c1,0.99
*CC(COCCCC)O*,1.01
*Oc1c(-c2ccccc2)cc(*)cc1-c1ccccc1,1.14
*Oc1c(C)cc(*)cc1C,1.07
*CC(*)c1cc(C)ccc1C,0.99
*CC=C(C*)C(C)(C)C,0.9
*CC(*)c1ccccc1C,1.01
*CC(*)c1ccccc1CC,0.99
*CC(*)c1ccccc1COCC,1.03
*CC(*)c1ccccc1COCCCC,1
*CC=CC(*)C,0.92
*CC=CC*,0.93
*CC(*)C=C,0.93
*C=CCCC*,0.92
*C=CCCCCCCCCCCCCCCCC*,0.88
*C=CCCCC*,0.91
*CC(*)CCCCC,0.87
*CCC=C(*)CC,0.91
*CC=C(C)C*,0.92
*c1cc(C)c2cc(*)ccc2c1,1.11
*C/C=C\C*,0.9
*CC=C(Cl)C*,1.25
*CC(*)(Cl)Cl,1.71
*CC(*)Cl,1.4
ClC(Cl)C(Cl)Cl,1.14
*CC(*)c1ccc(Cl)cc1,1.35
*CC(*)c1ccc(Cl)c(C)c1,1.1
*CC(*)c1ccc(Cl)cc1C,1.15
*CC(*)c1ccc(Cl)c(Cl)c1,1.15
